livrooms_count,district,year,level,house_levels,const_tech,area,liv_area,kitchen_area,price
2,Новинский,2023.0,8,8,блок+утеплитель,48.0,30.0,14.0,7000000
3,Московский,1978.0,7,9,панель,57.4,38.4,9.0,8300000
3,Канавинский,2023.0,3,9,панель,73.0,39.0,11.0,9500000
3,Канавинский,2025.0,8,10,панель,73.0,45.0,11.0,7800000
3,Сормовский,1968.0,5,5,кирпич,51.0,35.0,5.1,4850000
1,Приокский,2016.0,14,17,блок+утеплитель,44.9,18.9,10.0,7500000
1,Московский,1981.0,6,9,кирпич,30.2,18.2,5.3,3850000
2,Советский,2023.0,12,17,поризованный керамический блок,66.6,42.8,20.0,26800000
2,Нижегородский,2011.0,6,6,кирпич,59.0,32.3,11.0,14000000
2,Автозаводский,1988.0,9,9,панель,44.9,27.0,6.8,7500000
3,Канавинский,1981.0,3,9,панель,70.5,39.9,8.9,8349000
1,Автозаводский,2010.0,3,10,панель,31.3,16.5,7.0,6000000
3,Приокский,1985.0,7,9,панель,73.6,40.2,9.0,7100000
2,Московский,1970.0,1,6,кирпич,48.0,29.1,6.0,5990000
0,Московский,2013.0,1,10,панель,17.6,12.0,1.0,3900000
2,Автозаводский,1968.0,1,5,панель,44.8,27.5,5.5,4200000
2,Советский,2024.0,14,15,блок+утеплитель,59.9,26.6,20.4,11480000
2,Советский,2009.0,11,13,кирпич,68.7,29.0,28.5,19700000
2,Автозаводский,1968.0,1,5,панель,43.3,28.6,5.5,5600000
2,Приокский,2014.0,3,5,блок+утеплитель,55.4,30.0,10.0,10700000
3,Ленинский,1941.0,4,5,кирпич,75.2,51.3,8.8,9980000
1,Автозаводский,2022.0,6,10,панель,31.5,12.3,8.5,5250000
2,Ленинский,2012.0,2,14,кирпич,58.3,36.0,8.5,10200000
0,Автозаводский,2020.0,10,10,панель,18.1,17.1,1.0,4100000
2,Сормовский,1975.0,5,5,панель,39.6,23.1,6.0,4690000
1,Советский,1969.0,2,5,кирпич,31.0,17.0,7.0,5450000
4,Приокский,1970.0,1,5,панель,58.2,46.2,5.9,7900000
3,Московский,1986.0,8,9,панель,56.0,36.0,7.5,6490000
3,Московский,1962.0,2,5,кирпич,54.8,41.0,6.5,5950000
3,Ленинский,1978.0,5,9,панель,65.0,42.8,6.1,9500000
3,Советский,1934.0,2,3,кирпич,60.9,41.0,6.5,7700000
2,Ленинский,1961.0,3,3,кирпич,36.8,25.5,5.5,4010000
2,Автозаводский,1994.0,4,9,панель,43.7,27.6,7.0,6400000
3,Ленинский,1970.0,3,5,кирпич,53.2,35.3,6.0,5780000
1,Автозаводский,1989.0,7,9,панель,32.7,17.4,7.5,4000000
2,Автозаводский,1967.0,4,5,панель,43.7,28.2,5.6,4250000
3,Ленинский,1972.0,2,5,панель,50.3,36.0,6.0,6600000
2,Автозаводский,1970.0,4,5,панель,51.1,34.8,5.7,5300000
1,Автозаводский,1969.0,4,5,панель,30.4,19.0,5.5,4000000
2,Автозаводский,1962.0,4,5,кирпич,43.8,28.9,6.0,4400000
1,Автозаводский,1983.0,5,9,кирпич,29.3,17.3,4.9,3500000
1,Автозаводский,1986.0,7,9,кирпич,29.3,13.0,7.0,4200000
2,Автозаводский,1979.0,6,9,панель,43.0,27.4,6.9,5100000
4,Автозаводский,1972.0,1,5,панель,58.6,42.0,6.0,6200000
1,Автозаводский,1972.0,4,5,кирпич,31.8,18.0,6.0,4400000
2,Канавинский,1990.0,4,9,панель,44.7,27.4,6.7,5400000
1,Автозаводский,1967.0,5,5,кирпич,31.0,17.0,6.0,3800000
3,Московский,1963.0,5,5,кирпич,41.8,28.7,6.6,4650000
3,Московский,1976.0,6,9,панель,62.9,44.2,7.0,6950000
2,Ленинский,1967.0,1,5,панель,44.2,27.0,5.6,4800000
3,Автозаводский,1999.0,1,10,панель,69.7,42.5,8.3,6900000
2,Автозаводский,1967.0,4,5,панель,43.7,28.2,5.6,4250000
2,Автозаводский,1962.0,4,5,кирпич,43.8,28.9,6.0,4400000
2,Автозаводский,1973.0,5,5,кирпич,44.3,30.0,6.0,5000000
2,Автозаводский,1973.0,1,5,панель,42.7,28.1,5.6,4800000
3,Ленинский,1970.0,3,5,кирпич,53.2,35.3,6.0,5780000
2,Автозаводский,1994.0,4,9,панель,43.7,27.6,7.0,6400000
3,Ленинский,1972.0,2,5,панель,50.3,36.0,6.0,6600000
2,Автозаводский,1970.0,4,5,панель,51.1,34.8,5.7,5300000
1,Автозаводский,1969.0,4,5,панель,30.4,19.0,5.5,4000000
1,Автозаводский,1989.0,7,9,панель,32.7,17.4,7.5,4000000
3,Автозаводский,1972.0,2,5,панель,50.5,33.8,6.0,6900000
1,Ленинский,1958.0,2,2,кирпич,33.0,22.7,5.2,3100000
1,Автозаводский,1993.0,11,25,панель,36.55,14.3,9.6,6500000
1,Автозаводский,2019.0,2,10,панель,36.0,18.0,7.0,4800000
1,Автозаводский,2026.0,3,8,блок+утеплитель,44.4,21.1,12.7,9849696
2,Автозаводский,1955.0,1,4,кирпич,50.6,29.8,7.5,7200000
2,Советский,1960.0,3,5,кирпич,42.0,30.0,5.0,5750000
4,Автозаводский,1976.0,2,9,кирпич,71.6,45.6,7.0,7500000
2,Автозаводский,1975.0,1,5,панель,50.2,35.0,6.0,6500000
3,Автозаводский,1985.0,4,9,панель,56.8,36.2,6.8,7000000
1,Автозаводский,1988.0,1,16,панель,43.0,18.0,12.0,5200000
5,Автозаводский,1930.0,4,5,кирпич,192.0,126.0,22.1,21450000
1,Ленинский,1986.0,2,9,кирпич,38.2,18.0,8.6,4550000
3,Автозаводский,1988.0,17,18,монолитный железобетон,72.0,43.0,11.0,10799000
2,Автозаводский,1968.0,1,5,панель,46.5,33.4,5.5,5500000
1,Автозаводский,2019.0,2,10,панель,36.0,18.0,7.0,4800000
1,Сормовский,2004.0,3,6,кирпич,55.7,22.1,24.1,7800000
2,Автозаводский,1960.0,1,3,шлакоблок,39.3,28.0,5.0,4200000
3,Автозаводский,1938.0,1,4,кирпич,74.6,54.0,8.0,8500000
1,Автозаводский,1984.0,2,9,кирпич,34.8,17.5,8.7,4700000
1,Автозаводский,1967.0,2,5,панель,31.0,19.0,6.0,4300000
1,Сормовский,1993.0,3,10,кирпич,36.1,18.9,8.5,4400000
2,Автозаводский,2019.0,10,10,панель,47.1,27.0,8.5,7150000
2,Автозаводский,2016.0,15,17,блок+утеплитель,63.7,38.3,12.5,12000000
3,Автозаводский,1974.0,3,9,панель,63.7,43.0,6.0,8300000
3,Сормовский,1955.0,1,2,кирпич,81.5,56.0,9.6,5700000
2,Автозаводский,1955.0,1,4,кирпич,50.6,29.8,7.5,7200000
3,Автозаводский,1976.0,9,9,кирпич,75.0,52.0,9.0,4500000
4,Автозаводский,1973.0,5,5,панель,60.0,35.0,6.0,6000000
3,Ленинский,1969.0,1,5,панель,56.8,42.3,5.8,5500000
2,Автозаводский,1989.0,6,10,панель,51.8,30.0,9.0,6700000
3,Автозаводский,2019.0,3,10,панель,56.0,36.0,9.0,8150000
2,Автозаводский,1965.0,5,5,панель,43.0,28.3,5.5,4600000
5,Автозаводский,1941.0,4,5,кирпич,118.7,78.5,16.0,17000000
3,Ленинский,1965.0,5,5,панель,56.8,39.4,5.4,5300000
2,Автозаводский,1959.0,2,2,шлакоблок,37.2,26.1,4.6,3100000
1,Советский,1959.0,1,2,шлакоблок,30.0,17.0,5.0,4100000
2,Советский,2024.0,5,10,блок+утеплитель,54.5,24.8,15.4,9180000
2,Автозаводский,1973.0,4,5,кирпич,44.4,29.5,6.0,4700000
2,Автозаводский,1968.0,3,5,панель,42.6,28.0,5.5,5000000
3,Автозаводский,1988.0,17,18,монолитный железобетон,72.0,43.0,11.0,10799000
2,Приокский,2024.0,15,16,кирпич,69.0,33.0,12.0,9990000
2,Советский,1967.0,1,5,панель,44.0,32.0,6.0,5580000
2,Автозаводский,2007.0,9,17,блок+утеплитель,67.1,36.0,15.6,11500000
3,Автозаводский,1968.0,3,5,панель,59.0,45.9,6.5,5900000
2,Автозаводский,1968.0,3,5,панель,44.0,27.0,6.0,4690000
1,Сормовский,1993.0,3,10,кирпич,36.1,18.9,8.5,4400000
1,Автозаводский,1967.0,2,5,панель,31.0,19.0,6.0,4300000
0,Сормовский,2021.0,4,10,панель,17.2,14.0,1.0,4200000
2,Автозаводский,1955.0,1,4,кирпич,50.6,29.8,7.5,7200000
2,Автозаводский,1968.0,1,5,панель,46.5,33.4,5.5,5500000
2,Автозаводский,1975.0,1,5,панель,50.2,35.0,6.0,6500000
2,Московский,2006.0,8,10,панель,52.3,31.3,9.0,8350000
2,Автозаводский,1958.0,2,5,кирпич,56.5,32.3,8.7,8500000
1,Канавинский,1957.0,1,2,шлакоблок,31.2,20.8,4.9,2700000
3,Автозаводский,1974.0,3,9,панель,63.7,43.0,6.0,8300000
2,Автозаводский,1990.0,9,10,панель,49.7,29.2,8.9,6700000
2,Автозаводский,1951.0,1,3,шлакоблок,42.3,26.0,6.0,3870000
2,Автозаводский,1933.0,3,4,кирпич,42.6,30.0,6.0,5000000
2,Автозаводский,1989.0,6,10,панель,51.8,30.0,9.0,6700000
1,Автозаводский,2026.0,3,8,блок+утеплитель,44.4,21.1,12.7,9849696
3,Автозаводский,1970.0,2,5,кирпич,61.0,44.0,5.0,7000000
4,Автозаводский,1973.0,5,5,панель,60.0,35.0,6.0,6000000
3,Ленинский,1969.0,1,5,панель,56.8,42.3,5.8,5500000
2,Автозаводский,1987.0,3,9,панель,42.3,28.0,7.0,5500000
2,Советский,2010.0,7,8,блок+утеплитель,70.3,37.3,14.7,16990000
2,Советский,1961.0,2,4,кирпич,43.2,29.0,6.0,5550000
2,Автозаводский,1972.0,4,5,панель,50.0,30.0,5.5,4800000
2,Автозаводский,1959.0,2,2,шлакоблок,37.2,26.1,4.6,3100000
3,Советский,1956.0,2,4,кирпич,100.6,60.0,15.0,13000000
2,Ленинский,1968.0,2,5,кирпич,23.3,12.0,2.0,3599000
3,Сормовский,1952.0,4,4,кирпич,64.4,42.1,8.0,6850000
2,Сормовский,1967.0,2,5,панель,45.3,32.6,5.4,4100000
1,Канавинский,1992.0,1,9,панель,28.7,11.7,6.9,6000000
1,Ленинский,1962.0,1,3,кирпич,31.0,21.0,5.0,2890000
2,Автозаводский,1973.0,6,9,панель,42.0,27.0,6.0,4800000
2,Автозаводский,1959.0,2,2,шлакоблок,37.0,26.0,5.0,3650000
3,Ленинский,1968.0,4,5,панель,55.0,37.0,6.0,6300000
2,Канавинский,2010.0,10,17,блок+утеплитель,67.2,35.0,12.0,14900000
2,Автозаводский,1970.0,3,5,панель,50.0,34.5,6.0,5700000
1,Автозаводский,1974.0,1,9,панель,33.0,18.0,6.0,4200000
1,Ленинский,1990.0,2,3,кирпич,34.0,16.7,8.7,3500000
3,Ленинский,1980.0,1,9,панель,58.0,40.0,7.0,6100000
3,Советский,1959.0,1,3,кирпич,65.0,47.0,7.0,8000000
2,Автозаводский,1959.0,2,2,шлакоблок,37.2,27.2,5.0,3800000
3,Автозаводский,1968.0,4,5,панель,59.8,46.5,5.5,7000000
3,Канавинский,1971.0,4,5,кирпич,63.0,46.5,6.0,6000000
1,Нижегородский,2015.0,10,14,кирпич,45.5,16.2,12.3,10999999
1,Московский,2014.0,12,12,кирпич,35.0,16.0,10.0,7690000
2,Нижегородский,2023.0,9,23,блок+утеплитель,49.8,22.0,17.4,12500000
1,Советский,2019.0,12,14,блок+утеплитель,43.5,14.9,16.2,8999999
2,Канавинский,2024.0,4,9,панель,52.0,29.2,10.65,7900000
3,Сормовский,1987.0,6,9,панель,57.7,39.0,9.0,6400000
2,Канавинский,1983.0,5,9,кирпич,34.3,28.7,5.0,4700000
2,Сормовский,1979.0,5,9,панель,52.0,32.0,7.5,5000000
1,Автозаводский,2012.0,3,3,блок+утеплитель,33.7,15.0,8.5,4450000
3,Канавинский,1984.0,1,9,панель,53.0,36.6,7.0,8500000
1,Канавинский,1958.0,1,3,кирпич,30.0,17.0,6.0,3300000
2,Канавинский,1980.0,6,9,кирпич,41.6,27.0,5.7,6000000
2,Сормовский,1979.0,5,9,панель,52.0,32.0,7.5,5000000
2,Канавинский,1980.0,6,9,кирпич,41.6,27.0,5.7,6000000
2,Ленинский,1981.0,4,9,панель,50.0,29.0,8.8,6800000
2,Советский,1982.0,5,5,кирпич,43.0,28.0,6.0,5700000
4,Московский,1970.0,5,5,панель,58.6,41.9,7.0,5600000
1,Автозаводский,1990.0,7,9,панель,32.5,17.1,7.6,4100000
3,Нижегородский,,16,22,блок+утеплитель,79.1,29.2,37.0,24000000
2,Автозаводский,1975.0,7,9,панель,38.2,21.8,6.1,6400000
2,Автозаводский,1972.0,9,9,кирпич,44.2,26.4,6.0,4700000
2,Автозаводский,1975.0,3,9,панель,38.1,21.8,6.1,7000000
3,Автозаводский,,5,13,кирпич,68.7,42.6,9.0,12350000
3,Автозаводский,1992.0,1,5,панель,64.0,39.0,10.5,6100000
3,Приокский,1989.0,1,9,панель,57.1,36.7,7.0,7650000
1,Автозаводский,1970.0,1,5,панель,33.0,17.4,5.8,4500000
3,Канавинский,1977.0,6,9,панель,60.2,44.0,7.0,7800000
3,Автозаводский,1968.0,2,5,кирпич,52.0,37.0,6.0,7700000
2,Приокский,2013.0,4,19,блок+утеплитель,52.0,27.9,10.5,9500000
1,Нижегородский,,4,22,блок+утеплитель,46.0,20.0,13.0,12000000
3,Автозаводский,1996.0,9,10,монолитный железобетон,69.3,41.0,8.7,8300000
2,Канавинский,1972.0,3,5,кирпич,45.0,30.0,5.8,5900000
2,Ленинский,1964.0,3,5,кирпич,45.0,30.0,6.0,4980000
2,Автозаводский,1958.0,1,2,шлакоблок,37.2,26.0,4.4,3300000
3,Автозаводский,1989.0,3,10,панель,63.1,38.2,9.0,8100000
3,Автозаводский,2019.0,9,10,панель,56.2,36.21,8.58,9000000
1,Нижегородский,2018.0,9,19,блок+утеплитель,52.0,21.0,15.0,17000000
1,Автозаводский,1962.0,2,5,кирпич,32.7,18.6,5.8,3950000
1,Автозаводский,2014.0,3,3,стеновая панель на деревянном каркасе,39.6,19.5,9.5,4700000
3,Автозаводский,2020.0,7,14,блок+утеплитель,82.2,51.4,11.2,11500000
1,Нижегородский,1961.0,1,3,кирпич,42.2,33.76,4.22,4417255
2,Советский,1973.0,7,9,кирпич,48.6,32.0,8.0,6900000
2,Приокский,1958.0,2,3,кирпич,45.0,28.0,6.0,4600000
1,Канавинский,1989.0,6,6,панель,40.0,25.0,5.8,7400000
1,Ленинский,1980.0,2,9,панель,33.0,17.0,10.5,5500000
2,Канавинский,2024.0,7,10,панель,59.0,36.0,11.0,7596000
2,Автозаводский,1964.0,3,5,кирпич,45.3,28.9,5.8,4500000
2,Советский,1958.0,2,2,дерево,48.1,32.2,6.2,5700000
3,Канавинский,1992.0,4,6,панель,85.0,50.0,8.5,16000000
1,Приокский,1978.0,8,9,кирпич,21.0,12.0,5.0,3200000
2,Приокский,1965.0,1,5,кирпич,43.8,27.6,6.0,5300000
4,Советский,1970.0,1,5,панель,59.9,46.0,6.5,8089000
1,Автозаводский,1982.0,8,9,кирпич,20.3,11.4,4.5,3300000
2,Советский,2014.0,7,18,блок+утеплитель,54.8,26.0,11.0,13200000
2,Советский,1960.0,4,4,кирпич,56.0,33.0,8.0,6500000
2,Сормовский,1969.0,1,5,кирпич,45.0,30.0,6.4,4000000
3,Приокский,1987.0,5,12,кирпич,76.2,42.3,9.6,9000000
3,Канавинский,1968.0,8,9,панель,62.1,40.0,7.0,7000000
3,Приокский,1967.0,2,5,кирпич,62.0,48.4,5.9,5850000
3,Приокский,2025.0,9,18,блок+утеплитель,91.4,45.4,17.5,17823000
1,Приокский,2025.0,13,18,блок+утеплитель,48.8,17.7,14.9,10589600
2,Приокский,2025.0,11,18,блок+утеплитель,64.9,24.1,20.8,13304500
1,Приокский,2025.0,17,18,блок+утеплитель,48.8,17.7,14.9,10980000
3,Приокский,2025.0,10,18,блок+утеплитель,91.4,45.4,17.5,18280000
2,Приокский,2025.0,18,18,блок+утеплитель,64.6,24.7,16.9,16473000
3,Приокский,2025.0,8,18,блок+утеплитель,91.4,45.4,17.5,17640200
2,Приокский,2025.0,13,18,блок+утеплитель,68.8,32.4,16.0,14448000
2,Приокский,2025.0,13,18,блок+утеплитель,64.9,24.1,20.8,13629000
0,Приокский,2025.0,13,18,блок+утеплитель,42.9,25.9,0.0,9652500
3,Приокский,2025.0,11,18,блок+утеплитель,91.3,45.4,17.5,18351300
1,Приокский,2025.0,14,18,блок+утеплитель,48.8,17.7,14.9,10736000
2,Приокский,2025.0,11,18,блок+утеплитель,68.8,32.4,16.0,14448000
1,Приокский,2025.0,14,18,блок+утеплитель,48.8,17.7,14.9,10736000
2,Приокский,2025.0,11,18,блок+утеплитель,68.8,32.4,16.0,14448000
3,Приокский,2025.0,6,18,блок+утеплитель,91.4,45.4,17.5,17183200
2,Приокский,2025.0,7,18,блок+утеплитель,69.0,32.4,16.1,13455000
1,Приокский,2025.0,16,18,блок+утеплитель,44.4,12.4,19.6,10434000
3,Приокский,2025.0,15,18,блок+утеплитель,89.1,45.8,17.5,18265500
3,Приокский,2025.0,18,18,блок+утеплитель,87.4,44.8,16.3,22287000
3,Приокский,2025.0,2,18,блок+утеплитель,92.0,45.4,17.5,14720000
3,Приокский,2025.0,3,18,блок+утеплитель,91.4,45.4,17.5,15538000
2,Приокский,2025.0,6,18,блок+утеплитель,69.0,32.4,16.1,13248000
3,Приокский,2025.0,6,18,блок+утеплитель,89.2,45.8,17.5,16769600
1,Приокский,2025.0,18,18,блок+утеплитель,82.6,33.9,28.2,21063000
3,Приокский,2025.0,9,18,блок+утеплитель,89.2,45.8,17.5,17394000
2,Приокский,2025.0,16,18,блок+утеплитель,74.3,31.2,19.2,16717500
2,Приокский,2025.0,10,18,блок+утеплитель,74.3,31.2,19.2,15082900
2,Приокский,2025.0,11,18,блок+утеплитель,74.3,31.2,19.2,15231500
3,Приокский,2025.0,8,18,блок+утеплитель,89.2,45.8,17.5,17215600
1,Приокский,2025.0,4,18,блок+утеплитель,49.7,17.0,11.9,9940000
3,Приокский,2025.0,2,18,блок+утеплитель,89.7,45.8,17.5,14352000
3,Приокский,2025.0,7,18,блок+утеплитель,89.2,45.8,17.5,17037200
3,Приокский,2025.0,3,18,блок+утеплитель,89.2,45.8,17.5,15164000
2,Автозаводский,2007.0,6,12,кирпич,69.68,35.66,14.45,11600000
1,Советский,1964.0,3,5,кирпич,30.1,17.5,6.0,4350000
2,Советский,2011.0,2,11,кирпич,78.0,27.0,33.0,17319999
2,Приокский,2008.0,13,14,кирпич,61.0,30.5,12.4,11650000
3,Сормовский,1977.0,7,9,панель,51.4,34.2,6.0,5150000
4,Ленинский,1975.0,7,9,панель,105.0,64.3,9.0,11900000
3,Советский,2017.0,22,22,блок+утеплитель,95.0,51.34,13.65,26990000
4,Нижегородский,2007.0,2,9,кирпич,119.8,68.8,15.4,40000000
3,Нижегородский,2021.0,3,6,кирпич,145.1,53.69,35.0,39900000
1,Нижегородский,2015.0,1,8,кирпич,37.2,20.3,8.7,8200000
3,Нижегородский,1957.0,4,4,кирпич,84.0,62.0,9.0,14500000
4,Автозаводский,,8,9,панель,88.3,55.4,7.3,11300000
4,Нижегородский,1993.0,6,10,панель,86.2,56.0,10.0,12900000
2,Автозаводский,1986.0,8,9,панель,44.3,28.0,7.1,6500000
3,Автозаводский,1972.0,1,5,панель,49.8,34.5,6.0,5600000
3,Автозаводский,1978.0,2,9,панель,61.8,44.3,7.0,6900000
2,Советский,2009.0,1,9,кирпич,65.0,34.2,13.0,11200000
2,Автозаводский,1957.0,1,2,шлакоблок,35.0,27.0,3.0,3600000
3,Нижегородский,1971.0,8,9,панель,60.8,44.4,7.0,9700000
1,Автозаводский,2016.0,9,17,блок+утеплитель,38.2,18.0,11.0,6500000
3,Московский,1977.0,2,9,кирпич,58.7,40.2,7.0,8200000
4,Нижегородский,2005.0,6,10,кирпич,122.1,73.8,13.2,27900000
