livrooms_count,district,year,level,house_levels,const_tech,area,liv_area,kitchen_area,price,log_price
3,Московский,1974.0,6,9,панель,62.0,44.4,7.0,7700000,15.856730886823913
1,Автозаводский,2016.0,17,17,блок+утеплитель,38.0,18.0,8.5,7300000,15.80338490611862
2,Сормовский,2008.0,2,10,кирпич,63.0,31.2,9.5,11500000,16.25785759333348
4,Канавинский,2025.0,4,10,панель,93.0,52.0,11.0,9900000,16.108045315104818
3,Нижегородский,1964.0,2,5,кирпич,41.2,33.5,5.0,6500000,15.687312734865866
1,Нижегородский,1985.0,5,9,кирпич,30.4,17.0,6.0,6250000,15.648092021712584
3,Советский,1934.0,1,3,кирпич,57.0,38.5,8.0,7200000,15.789591583986283
3,Сормовский,1961.0,3,4,кирпич,55.2,41.0,5.6,5100000,15.444751097694555
2,Канавинский,2025.0,3,9,панель,58.0,31.0,11.0,6270000,15.651286912609104
2,Канавинский,2025.0,2,10,блок+утеплитель,56.0,33.0,9.0,6300000,15.65606019136176
2,Новинский,2023.0,8,8,блок+утеплитель,48.0,30.0,14.0,7000000,15.761420707019587
3,Московский,1978.0,7,9,панель,57.4,38.4,9.0,8300000,15.931766072766827
3,Канавинский,2023.0,3,9,панель,73.0,39.0,11.0,9500000,16.06680235657077
3,Канавинский,2025.0,8,10,панель,73.0,45.0,11.0,7800000,15.86963429165982
3,Сормовский,1968.0,5,5,кирпич,51.0,35.0,5.1,4850000,15.394489262913666
1,Приокский,2016.0,14,17,блок+утеплитель,44.9,18.9,10.0,7500000,15.830413578506539
1,Московский,1981.0,6,9,кирпич,30.2,18.2,5.3,3850000,15.163583706263967
2,Советский,2023.0,12,17,поризованный керамический блок,66.6,42.8,20.0,26800000,17.103912445481086
2,Нижегородский,2011.0,6,6,кирпич,59.0,32.3,11.0,14000000,16.454567887579532
2,Автозаводский,1988.0,9,9,панель,44.9,27.0,6.8,7500000,15.830413578506539
3,Канавинский,1981.0,3,9,панель,70.5,39.9,8.9,8349000,15.937652329176137
1,Автозаводский,2010.0,3,10,панель,31.3,16.5,7.0,6000000,15.60727002719233
3,Приокский,1985.0,7,9,панель,73.6,40.2,9.0,7100000,15.775605342011543
2,Московский,1970.0,1,6,кирпич,48.0,29.1,6.0,5990000,15.605601970091632
0,Московский,2013.0,1,10,панель,17.6,12.0,1.0,3900000,15.176487111099874
2,Автозаводский,1968.0,1,5,панель,44.8,27.5,5.5,4200000,15.250595083253597
2,Советский,2024.0,14,15,блок+утеплитель,59.9,26.6,20.4,11480000,16.256116948855695
2,Советский,2009.0,11,13,кирпич,68.7,29.0,28.5,19700000,16.796129193708218
2,Автозаводский,1968.0,1,5,панель,43.3,28.6,5.5,5600000,15.538277155705378
2,Приокский,2014.0,3,5,блок+утеплитель,55.4,30.0,10.0,10700000,16.185754299432134
3,Ленинский,1941.0,4,5,кирпич,75.2,51.3,8.8,9980000,16.116093648287645
1,Автозаводский,2022.0,6,10,панель,31.5,12.3,8.5,5250000,15.473738634567807
2,Ленинский,2012.0,2,14,кирпич,58.3,36.0,8.5,10200000,16.1378982782545
0,Автозаводский,2020.0,10,10,панель,18.1,17.1,1.0,4100000,15.226497531674536
2,Сормовский,1975.0,5,5,панель,39.6,23.1,6.0,4690000,15.360943140422462
1,Советский,1969.0,2,5,кирпич,31.0,17.0,7.0,5450000,15.511126166639427
4,Приокский,1970.0,1,5,панель,58.2,46.2,5.9,7900000,15.88237331743725
3,Московский,1986.0,8,9,панель,56.0,36.0,7.5,6490000,15.685773088680273
3,Московский,1962.0,2,5,кирпич,54.8,41.0,6.5,5950000,15.598901777521812
3,Ленинский,1978.0,5,9,панель,65.0,42.8,6.1,9500000,16.06680235657077
3,Советский,1934.0,2,3,кирпич,60.9,41.0,6.5,7700000,15.856730886823913
2,Ленинский,1961.0,3,3,кирпич,36.8,25.5,5.5,4010000,15.204301799282751
2,Автозаводский,1994.0,4,9,панель,43.7,27.6,7.0,6400000,15.671808548329901
3,Ленинский,1970.0,3,5,кирпич,53.2,35.3,6.0,5780000,15.56991424064856
1,Автозаводский,1989.0,7,9,панель,32.7,17.4,7.5,4000000,15.201804919084164
2,Автозаводский,1967.0,4,5,панель,43.7,28.2,5.6,4250000,15.2624295409006
3,Ленинский,1972.0,2,5,панель,50.3,36.0,6.0,6600000,15.702580206996654
2,Автозаводский,1970.0,4,5,панель,51.1,34.8,5.7,5300000,15.483217378522351
1,Автозаводский,1969.0,4,5,панель,30.4,19.0,5.5,4000000,15.201804919084164
2,Автозаводский,1962.0,4,5,кирпич,43.8,28.9,6.0,4400000,15.29711509888849
1,Автозаводский,1983.0,5,9,кирпич,29.3,17.3,4.9,3500000,15.068273526459642
1,Автозаводский,1986.0,7,9,кирпич,29.3,13.0,7.0,4200000,15.250595083253597
2,Автозаводский,1979.0,6,9,панель,43.0,27.4,6.9,5100000,15.444751097694555
4,Автозаводский,1972.0,1,5,панель,58.6,42.0,6.0,6200000,15.64005985001532
1,Автозаводский,1972.0,4,5,кирпич,31.8,18.0,6.0,4400000,15.29711509888849
2,Канавинский,1990.0,4,9,панель,44.7,27.4,6.7,5400000,15.501909511534503
1,Автозаводский,1967.0,5,5,кирпич,31.0,17.0,6.0,3800000,15.150511624696614
3,Московский,1963.0,5,5,кирпич,41.8,28.7,6.6,4650000,15.35237777756354
3,Московский,1976.0,6,9,панель,62.9,44.2,7.0,6950000,15.754252217540975
2,Ленинский,1967.0,1,5,панель,44.2,27.0,5.6,4800000,15.38412647587812
3,Автозаводский,1999.0,1,10,панель,69.7,42.5,8.3,6900000,15.747031969567487
2,Автозаводский,1967.0,4,5,панель,43.7,28.2,5.6,4250000,15.2624295409006
2,Автозаводский,1962.0,4,5,кирпич,43.8,28.9,6.0,4400000,15.29711509888849
2,Автозаводский,1973.0,5,5,кирпич,44.3,30.0,6.0,5000000,15.424948470398375
2,Автозаводский,1973.0,1,5,панель,42.7,28.1,5.6,4800000,15.38412647587812
3,Ленинский,1970.0,3,5,кирпич,53.2,35.3,6.0,5780000,15.56991424064856
2,Автозаводский,1994.0,4,9,панель,43.7,27.6,7.0,6400000,15.671808548329901
3,Ленинский,1972.0,2,5,панель,50.3,36.0,6.0,6600000,15.702580206996654
2,Автозаводский,1970.0,4,5,панель,51.1,34.8,5.7,5300000,15.483217378522351
1,Автозаводский,1969.0,4,5,панель,30.4,19.0,5.5,4000000,15.201804919084164
1,Автозаводский,1989.0,7,9,панель,32.7,17.4,7.5,4000000,15.201804919084164
3,Автозаводский,1972.0,2,5,панель,50.5,33.8,6.0,6900000,15.747031969567487
1,Ленинский,1958.0,2,2,кирпич,33.0,22.7,5.2,3100000,14.946912669455374
1,Автозаводский,1993.0,11,25,панель,36.55,14.3,9.6,6500000,15.687312734865866
1,Автозаводский,2019.0,2,10,панель,36.0,18.0,7.0,4800000,15.38412647587812
1,Автозаводский,2026.0,3,8,блок+утеплитель,44.4,21.1,12.7,9849696,16.10295114972784
2,Автозаводский,1955.0,1,4,кирпич,50.6,29.8,7.5,7200000,15.789591583986283
2,Советский,1960.0,3,5,кирпич,42.0,30.0,5.0,5750000,15.564710412773533
4,Автозаводский,1976.0,2,9,кирпич,71.6,45.6,7.0,7500000,15.830413578506539
2,Автозаводский,1975.0,1,5,панель,50.2,35.0,6.0,6500000,15.687312734865866
3,Автозаводский,1985.0,4,9,панель,56.8,36.2,6.8,7000000,15.761420707019587
1,Автозаводский,1988.0,1,16,панель,43.0,18.0,12.0,5200000,15.464169183551656
1,Ленинский,1986.0,2,9,кирпич,38.2,18.0,8.6,4550000,15.330637790927133
3,Автозаводский,1988.0,17,18,монолитный железобетон,72.0,43.0,11.0,10799000,16.194964095214896
2,Автозаводский,1968.0,1,5,панель,46.5,33.4,5.5,5500000,15.520258650202699
1,Автозаводский,2019.0,2,10,панель,36.0,18.0,7.0,4800000,15.38412647587812
1,Сормовский,2004.0,3,6,кирпич,55.7,22.1,24.1,7800000,15.86963429165982
2,Автозаводский,1960.0,1,3,шлакоблок,39.3,28.0,5.0,4200000,15.250595083253597
3,Автозаводский,1938.0,1,4,кирпич,74.6,54.0,8.0,8500000,15.955576721460545
1,Автозаводский,1984.0,2,9,кирпич,34.8,17.5,8.7,4700000,15.363073066680286
1,Автозаводский,1967.0,2,5,панель,31.0,19.0,6.0,4300000,15.27412558066379
1,Сормовский,1993.0,3,10,кирпич,36.1,18.9,8.5,4400000,15.29711509888849
2,Автозаводский,2019.0,10,10,панель,47.1,27.0,8.5,7150000,15.78262291467019
2,Автозаводский,2016.0,15,17,блок+утеплитель,63.7,38.3,12.5,12000000,16.300417207752275
3,Автозаводский,1974.0,3,9,панель,63.7,43.0,6.0,8300000,15.931766072766827
3,Сормовский,1955.0,1,2,кирпич,81.5,56.0,9.6,5700000,15.555976732804778
2,Автозаводский,1955.0,1,4,кирпич,50.6,29.8,7.5,7200000,15.789591583986283
3,Автозаводский,1976.0,9,9,кирпич,75.0,52.0,9.0,4500000,15.319587954740548
