Дата,Кол-во комнат,Адрес,Год постройки,Этаж,Площадь (кв.м),Цена,Unnamed: 7
14.04,5-комнатная квартира,"Автозаводский район Соцгород 7просп. Молодёжный, д. 16 Информация о доме",1930.0,"4 / 5 эт., кирпич","192 / 126 / 22,1стал.",21 450 000 руб.111 719 руб./м²от 254 684 руб./мес.,
14.04,1-комнатная квартира,"Ленинский районул. Премудрова, д. 10, к3 Информация о доме",1986.0,"2 / 9 эт., кирпич","38,2 / 18 / 8,6",4 550 000 руб.119 110 руб./м²от 54 024 руб./мес.,
14.04,3-комнатная квартира,"Автозаводский район микрорайон Северныйул. Дьяконова, д. 13 Информация о доме",1988.0,"17 / 18 эт., монолитный железобетон",72 / 43 / 11,10 799 000 руб.149 986 руб./м²от 128 221 руб./мес.,
14.04,2-комнатная квартира,"Автозаводский районул. Героя Юрия Смирнова, д. 61 Информация о доме",1968.0,"1 / 5 эт., панель","46,5 / 33,4 / 5,5брежн.",5 500 000 руб.118 280 руб./м²от 65 304 руб./мес.,
14.04,1-комнатная квартира,"Автозаводский район ЖК Торпедоул. Бориса Видяева, д. 14 Информация о доме",2019.0,"2 / 10 эт., панель",36 / 18 / 7,4 800 000 руб.133 333 руб./м²от 56 992 руб./мес.,
,,,,,,,
14.04,1-комнатная квартира,"Сормовский районпросп. Союзный, д. 5а Информация о доме",2004.0,"3 / 6 эт., кирпич","55,7 / 22,1 / 24,1",7 800 000 руб.140 036 руб./м²от 92 612 руб./мес.,
14.04,2-комнатная квартира,"Автозаводский районул. Обнорского, д. 15 Информация о доме",1960.0,"1 / 3 эт., шлакоблок","39,3 / 28 / 5народн. стр.",4 200 000 руб.106 870 руб./м²от 49 868 руб./мес.,
14.04,3-комнатная квартира,"Автозаводский район Соцгород 6просп. Кирова, д. 29 Информация о доме",1938.0,"1 / 4 эт., кирпич","74,6 / 54 / 8стал.",8 500 000 руб.113 941 руб./м²от 100 924 руб./мес.,
14.04,1-комнатная квартира,"Автозаводский район Соцгород 5ул. Челюскинцев, д. 18 Информация о доме",1984.0,"2 / 9 эт., кирпич","34,8 / 17,5 / 8,7",4 700 000 руб.135 057 руб./м²от 55 805 руб./мес.,
14.04,1-комнатная квартира,"Автозаводский район 6-й микрорайонш. Южное, д. 24А Информация о доме",1967.0,"2 / 5 эт., панель",31 / 19 / 6брежн.,4 300 000 руб.138 710 руб./м²от 51 056 руб./мес.,
14.04,1-комнатная квартира,"Сормовский районул. Волжская, д. 40 Информация о доме",1993.0,"3 / 10 эт., кирпич","36,1 / 18,9 / 8,5",4 400 000 руб.121 884 руб./м²от 52 243 руб./мес.,
14.04,2-комнатная квартира,"Автозаводский район ЖК Торпедоул. Бориса Видяева, д. 15 Информация о доме",2019.0,"10 / 10 эт., панель","47,1 / 27 / 8,5",7 150 000 руб.151 805 руб./м²от 84 895 руб./мес.,
,,,,,,,
14.04,2-комнатная квартира,"Автозаводский район микрорайон Югб-р Южный, д. 19 Информация о доме",2016.0,"15 / 17 эт., блок+утеплитель","63,7 / 38,3 / 12,5",12 000 000 руб.188 383 руб./м²от 142 481 руб./мес.,
14.04,3-комнатная квартира,"Автозаводский район микрорайон Северныйул. Мельникова, д. 14 Информация о доме",1974.0,"3 / 9 эт., панель","63,7 / 43 / 6",8 300 000 руб.130 298 руб./м²от 98 549 руб./мес.,
14.04,3-комнатная квартира,"Сормовский районул. Новосоветская, д. 13 Информация о доме",1955.0,"1 / 2 эт., кирпич","81,5 / 56 / 9,6народн. стр.",5 700 000 руб.69 939 руб./м²от 67 678 руб./мес.,
14.04,2-комнатная квартира,"Автозаводский район микрорайон Северныйул. Борская, д. 15А Информация о доме",1955.0,"1 / 4 эт., кирпич","50,6 / 29,8 / 7,5стал.",7 200 000 руб.142 292 руб./м²от 85 488 руб./мес.,
14.04,3-комнатная квартира,"Автозаводский район микрорайон Северныйул. Дьяконова, д. 26А Информация о доме",1976.0,"9 / 9 эт., кирпич",75 / 52 / 9,4 500 000 руб.60 000 руб./м²от 53 430 руб./мес.,
14.04,4-комнатная квартира,"Автозаводский район микрорайон Северныйул. Мельникова, д. 18 к2 Информация о доме",1973.0,"5 / 5 эт., панель",60 / 35 / 6брежн.,6 000 000 руб.100 000 руб./м²от 71 240 руб./мес.,
14.04,3-комнатная квартира,"Ленинский район микрорайон Молитовкаул. Перекопская, д. 4 Информация о доме",1969.0,"1 / 5 эт., панель","56,8 / 42,3 / 5,8брежн.",5 500 000 руб.96 831 руб./м²от 65 304 руб./мес.,
,,,,,,,
14.04,2-комнатная квартира,"Автозаводский районш. Южное, д. 10 Информация о доме",1989.0,"6 / 10 эт., панель","51,8 / 30 / 9",6 700 000 руб.129 344 руб./м²от 79 552 руб./мес.,
14.04,3-комнатная квартира,"Автозаводский район ЖК Торпедоул. Бориса Видяева, д. 15 Информация о доме",2019.0,"3 / 10 эт., панель",56 / 36 / 9,8 150 000 руб.145 536 руб./м²от 96 768 руб./мес.,
14.04,2-комнатная квартира,"Автозаводский районул. Лескова, д. 52А Информация о доме",1965.0,"5 / 5 эт., панель","43 / 28,3 / 5,5брежн.",4 600 000 руб.106 977 руб./м²от 54 618 руб./мес.,
14.04,5-комнатная квартира,"Автозаводский район Соцгород 9просп. Ильича, д. 34 Информация о доме",1941.0,"4 / 5 эт., кирпич","118,7 / 78,5 / 16стал.",17 000 000 руб.143 218 руб./м²от 201 847 руб./мес.,
14.04,3-комнатная квартира,"Ленинский районул. Снежная, д. 29/3 Информация о доме",1965.0,"5 / 5 эт., панель","56,8 / 39,4 / 5,4брежн.",5 300 000 руб.93 310 руб./м²от 62 929 руб./мес.,
14.04,2-комнатная квартира,"Автозаводский районул. Минеева, д. 15 Информация о доме",1959.0,"2 / 2 эт., шлакоблок","37,2 / 26,1 / 4,6народн. стр.",3 100 000 руб.83 333 руб./м²от 36 807 руб./мес.,
14.04,1-комнатная квартира,"Советский районул. Моховая, д. 5 Информация о доме",1959.0,"1 / 2 эт., шлакоблок",30 / 17 / 5народн. стр.,4 100 000 руб.136 667 руб./м²от 48 681 руб./мес.,
,,,,,,,
14.04,2-комнатная квартира,"Советский район ЖК Новая Кузнечихадеревня Кузнечиха, просп. Героев Донбасса, д. 17 Информация о доме",2024.0,"5 / 10 эт., блок+утеплитель","54,5 / 24,8 / 15,4",9 180 000 руб.168 440 руб./м²от 108 998 руб./мес.,
14.04,2-комнатная квартира,"Автозаводский район микрорайон Северныйул. Львовская, д. 7 Информация о доме",1973.0,"4 / 5 эт., кирпич","44,4 / 29,5 / 6хрущ.",4 700 000 руб.105 856 руб./м²от 55 805 руб./мес.,
14.04,2-комнатная квартира,"Автозаводский район 6-й микрорайонш. Южное, д. 16 Информация о доме",1968.0,"3 / 5 эт., панель","42,6 / 28 / 5,5брежн.",5 000 000 руб.117 371 руб./м²от 59 367 руб./мес.,
14.04,3-комнатная квартира,"Автозаводский район микрорайон Северныйул. Дьяконова, д. 13 Информация о доме",1988.0,"17 / 18 эт., монолитный железобетон",72 / 43 / 11,10 799 000 руб.149 986 руб./м²от 128 221 руб./мес.,
14.04,2-комнатная квартира,"Приокский район ЖД Приокскийул. Маршала Жукова, д. 8 к1 Информация о доме",2024.0,"15 / 16 эт., кирпич",69 / 33 / 12,9 990 000 руб.144 783 руб./м²от 118 615 руб./мес.,
14.04,2-комнатная квартира,"Советский район Нагорный 1ул. Надежды Сусловой, д. 3 к1 Информация о доме",1967.0,"1 / 5 эт., панель",44 / 32 / 6брежн.,5 580 000 руб.126 818 руб./м²от 66 253 руб./мес.,
14.04,2-комнатная квартира,"Автозаводский районул. Героя Шнитникова, д. 1 Информация о доме",2007.0,"9 / 17 эт., блок+утеплитель","67,1 / 36 / 15,6",11 500 000 руб.171 386 руб./м²от 136 544 руб./мес.,
14.04,3-комнатная квартира,"Автозаводский район Соцгород 3ул. Советской Армии, д. 2 Информация о доме",1968.0,"3 / 5 эт., панель","59 / 45,9 / 6,5брежн.",5 900 000 руб.100 000 руб./м²от 70 053 руб./мес.,
14.04,2-комнатная квартира,"Автозаводский район Соцгород 3ул. Советской Армии, д. 2 Информация о доме",1968.0,"3 / 5 эт., панель",44 / 27 / 6брежн.,4 690 000 руб.106 591 руб./м²от 55 686 руб./мес.,
,,,,,,,
14.04,1-комнатная квартира,"Сормовский районул. Волжская, д. 40 Информация о доме",1993.0,"3 / 10 эт., кирпич","36,1 / 18,9 / 8,5",4 400 000 руб.121 884 руб./м²от 52 243 руб./мес.,
14.04,1-комнатная квартира,"Автозаводский район 6-й микрорайонш. Южное, д. 24А Информация о доме",1967.0,"2 / 5 эт., панель",31 / 19 / 6брежн.,4 300 000 руб.138 710 руб./м²от 51 056 руб./мес.,
14.04,Квартира-студия,"Сормовский район ЖК Кораблипросп. Кораблестроителей, д. 66 Информация о доме",2021.0,"4 / 10 эт., панель","17,2 / 14 / 1",4 200 000 руб.244 186 руб./м²от 49 868 руб./мес.,
14.04,2-комнатная квартира,"Автозаводский район микрорайон Северныйул. Борская, д. 15А Информация о доме",1955.0,"1 / 4 эт., кирпич","50,6 / 29,8 / 7,5стал.",7 200 000 руб.142 292 руб./м²от 85 488 руб./мес.,
14.04,2-комнатная квартира,"Автозаводский районул. Героя Юрия Смирнова, д. 61 Информация о доме",1968.0,"1 / 5 эт., панель","46,5 / 33,4 / 5,5брежн.",5 500 000 руб.118 280 руб./м²от 65 304 руб./мес.,
14.04,2-комнатная квартира,"Автозаводский район микрорайон Северныйул. Дьяконова, д. 1А Информация о доме",1975.0,"1 / 5 эт., панель","50,2 / 35 / 6брежн.",6 500 000 руб.129 482 руб./м²от 77 177 руб./мес.,
14.04,2-комнатная квартира,"Московский районул. Маршала Казакова, д. 8 к1 Информация о доме",2006.0,"8 / 10 эт., панель","52,3 / 31,3 / 9",8 350 000 руб.159 656 руб./м²от 99 143 руб./мес.,
,,,,,,,
14.04,2-комнатная квартира,"Автозаводский район Соцгород 4просп. Октября, д. 18 Информация о доме",1958.0,"2 / 5 эт., кирпич","56,5 / 32,3 / 8,7стал.",8 500 000 руб.150 442 руб./м²от 100 924 руб./мес.,
14.04,1-комнатная квартира,"Канавинский районпосёлок Берёзовский, ул. Ракетная, д. 1 Информация о доме",1957.0,"1 / 2 эт., шлакоблок","31,2 / 20,8 / 4,9народн. стр.",2 700 000 руб.86 538 руб./м²от 32 058 руб./мес.,
14.04,3-комнатная квартира,"Автозаводский район микрорайон Северныйул. Мельникова, д. 14 Информация о доме",1974.0,"3 / 9 эт., панель","63,7 / 43 / 6",8 300 000 руб.130 298 руб./м²от 98 549 руб./мес.,
14.04,2-комнатная квартира,"Автозаводский район Соцгород 5ул. Комсомольская, д. 13 Информация о доме",1990.0,"9 / 10 эт., панель","49,7 / 29,2 / 8,9",6 700 000 руб.134 809 руб./м²от 79 552 руб./мес.,
14.04,2-комнатная квартира,"Автозаводский районул. Толбухина, д. 6 Информация о доме",1951.0,"1 / 3 эт., шлакоблок","42,3 / 26 / 6стал.",3 870 000 руб.91 489 руб./м²от 45 950 руб./мес.,
14.04,2-комнатная квартира,"Автозаводский район Соцгород 6просп. Ильича, д. 28 Информация о доме",1933.0,"3 / 4 эт., кирпич","42,6 / 30 / 6стал.",5 000 000 руб.117 371 руб./м²от 59 367 руб./мес.,
14.04,2-комнатная квартира,"Автозаводский районш. Южное, д. 10 Информация о доме",1989.0,"6 / 10 эт., панель","51,8 / 30 / 9",6 700 000 руб.129 344 руб./м²от 79 552 руб./мес.,
,,,,,,,
14.04,1-комнатная квартира,Автозаводский районул. Комсомольская,2026.0,"3 / 8 эт., блок+утеплитель","44,4 / 21,1 / 12,7",9 849 696 руб.221 840 руб./м²от 116 949 руб./мес.,
14.04,3-комнатная квартира,"Автозаводский район Соцгород 3ул. Раевского, д. 3 Информация о доме",1970.0,"2 / 5 эт., кирпич",61 / 44 / 5хрущ.,7 000 000 руб.114 754 руб./м²от 83 114 руб./мес.,
14.04,4-комнатная квартира,"Автозаводский район микрорайон Северныйул. Мельникова, д. 18 к2 Информация о доме",1973.0,"5 / 5 эт., панель",60 / 35 / 6брежн.,6 000 000 руб.100 000 руб./м²от 71 240 руб./мес.,
14.04,3-комнатная квартира,"Ленинский район микрорайон Молитовкаул. Перекопская, д. 4 Информация о доме",1969.0,"1 / 5 эт., панель","56,8 / 42,3 / 5,8брежн.",5 500 000 руб.96 831 руб./м²от 65 304 руб./мес.,
14.04,2-комнатная квартира,"Автозаводский районул. Минеева, д. 31 Информация о доме",1987.0,"3 / 9 эт., панель","42,3 / 28 / 7",5 500 000 руб.130 024 руб./м²от 65 304 руб./мес.,
14.04,2-комнатная квартира,"Советский районул. Белинского, д. 15 Информация о доме",2010.0,"7 / 8 эт., блок+утеплитель","70,3 / 37,3 / 14,7",16 990 000 руб.241 679 руб./м²от 201 729 руб./мес.,
14.04,2-комнатная квартира,"Советский районпр. Высоковский, д. 5 Информация о доме",1961.0,"2 / 4 эт., кирпич","43,2 / 29 / 6хрущ.",5 550 000 руб.128 472 руб./м²от 65 897 руб./мес.,
,,,,,,,
14.04,2-комнатная квартира,"Автозаводский район микрорайон Северныйул. Переходникова, д. 7 Информация о доме",1972.0,"4 / 5 эт., панель","50 / 30 / 5,5брежн.",4 800 000 руб.96 000 руб./м²от 56 992 руб./мес.,
14.04,2-комнатная квартира,"Автозаводский районул. Минеева, д. 15 Информация о доме",1959.0,"2 / 2 эт., шлакоблок","37,2 / 26,1 / 4,6народн. стр.",3 100 000 руб.83 333 руб./м²от 36 807 руб./мес.,
14.04,3-комнатная квартира,"Советский районул. Бекетова, д. 5 Информация о доме",1956.0,"2 / 4 эт., кирпич","100,6 / 60 / 15стал.",13 000 000 руб.129 225 руб./м²от 154 354 руб./мес.,
14.04,2-комнатная квартира,"Ленинский район микрорайон Молитовкаул. Усиевича, д. 15а Информация о доме",1968.0,"2 / 5 эт., кирпич","23,3 / 12 / 2хрущ.",3 599 000 руб.154 464 руб./м²от 42 732 руб./мес.,
14.04,3-комнатная квартира,"Сормовский районул. Коминтерна, д. 199 Информация о доме",1952.0,"4 / 4 эт., кирпич","64,4 / 42,1 / 8стал.",6 850 000 руб.106 366 руб./м²от 81 333 руб./мес.,
14.04,2-комнатная квартира,"Сормовский районул. Станиславского, д. 6 Информация о доме",1967.0,"2 / 5 эт., панель","45,3 / 32,6 / 5,4брежн.",4 100 000 руб.90 508 руб./м²от 48 681 руб./мес.,
14.04,1-комнатная квартира,"Канавинский район 6-й микрорайон Мещерское озеронаб. Волжская, д. 9 Информация о доме",1992.0,"1 / 9 эт., панель","28,7 / 11,7 / 6,9",6 000 000 руб.209 059 руб./м²от 71 240 руб./мес.,
14.04,1-комнатная квартира,"Ленинский район микрорайон Молитовкаул. Матросская, д. 32а Информация о доме",1962.0,"1 / 3 эт., кирпич",31 / 21 / 5хрущ.,2 890 000 руб.93 226 руб./м²от 34 314 руб./мес.,
14.04,2-комнатная квартира,"Автозаводский районул. Героя Советского Союза Прыгунова, д. 17 Информация о доме",1973.0,"6 / 9 эт., панель",42 / 27 / 6,4 800 000 руб.114 286 руб./м²от 56 992 руб./мес.,
,,,,,,,
14.04,2-комнатная квартира,"Автозаводский район микрорайон Мончегорскийпосёлок 40 лет Октября, ул. Орбели, д. 10 Информация о доме",1959.0,"2 / 2 эт., шлакоблок",37 / 26 / 5народн. стр.,3 650 000 руб.98 649 руб./м²от 43 338 руб./мес.,
14.04,3-комнатная квартира,"Ленинский районпросп. Ленина, д. 69 к3 Информация о доме",1968.0,"4 / 5 эт., панель",55 / 37 / 6брежн.,6 300 000 руб.114 545 руб./м²от 74 802 руб./мес.,
14.04,2-комнатная квартира,"Канавинский район микрорайон Мещерское Озероул. Карла Маркса, д. 56 Информация о доме",2010.0,"10 / 17 эт., блок+утеплитель","67,2 / 35 / 12",14 900 000 руб.221 726 руб./м²от 176 913 руб./мес.,
14.04,2-комнатная квартира,"Автозаводский район 6-й микрорайонмкр. 6-й, д. 13 Информация о доме",1970.0,"3 / 5 эт., панель","50 / 34,5 / 6брежн.",5 700 000 руб.114 000 руб./м²от 67 678 руб./мес.,
14.04,1-комнатная квартира,"Автозаводский районул. Героя Советского Союза Прыгунова, д. 27 Информация о доме",1974.0,"1 / 9 эт., панель",33 / 18 / 6,4 200 000 руб.127 273 руб./м²от 49 868 руб./мес.,
14.04,1-комнатная квартира,"Ленинский районул. Героя Попова, д. 3а Информация о доме",1990.0,"2 / 3 эт., кирпич","34 / 16,7 / 8,7",3 500 000 руб.102 941 руб./м²от 41 557 руб./мес.,
14.04,3-комнатная квартира,"Ленинский район микрорайон Молитовкаул. Адмирала Макарова, д. 5 Информация о доме",1980.0,"1 / 9 эт., панель",58 / 40 / 7,6 100 000 руб.105 172 руб./м²от 72 428 руб./мес.,
,,,,,,,
14.04,3-комнатная квартира,"Советский районул. Бекетова, д. 10б Информация о доме",1959.0,"1 / 3 эт., кирпич",65 / 47 / 7стал.,8 000 000 руб.123 077 руб./м²от 94 987 руб./мес.,
14.04,2-комнатная квартира,"Автозаводский район микрорайон Мончегорскийпосёлок 40 лет Октября, ул. Мончегорская, д. 19 Информация о доме",1959.0,"2 / 2 эт., шлакоблок","37,2 / 27,2 / 5народн. стр.",3 800 000 руб.102 151 руб./м²от 45 119 руб./мес.,
14.04,3-комнатная квартира,"Автозаводский районул. Героя Юрия Смирнова, д. 61 Информация о доме",1968.0,"4 / 5 эт., панель","59,8 / 46,5 / 5,5брежн.",7 000 000 руб.117 057 руб./м²от 83 114 руб./мес.,
14.04,3-комнатная квартира,"Канавинский районпосёлок Володарского, ул. Климовская, д. 10 Информация о доме",1971.0,"4 / 5 эт., кирпич","63 / 46,5 / 6хрущ.",6 000 000 руб.95 238 руб./м²от 71 240 руб./мес.,
14.04,1-комнатная квартира,"Нижегородский район Печёрская долинаул. Деловая, д. 20 Информация о доме",2015.0,"10 / 14 эт., кирпич","45,5 / 16,2 / 12,3",10 999 999 руб.241 758 руб./м²от 130 607 руб./мес.,
14.04,1-комнатная квартира,"Московский район микрорайон Бурнаковскийул. Куйбышева, д. 69 Информация о доме",2014.0,"12 / 12 эт., кирпич",35 / 16 / 10,7 690 000 руб.219 714 руб./м²от 91 306 руб./мес.,
14.04,2-комнатная квартира,"Нижегородский район ЖК Дом на Набережнойул. Родионова, д. 178 Информация о доме",2023.0,"9 / 23 эт., блок+утеплитель","49,8 / 22 / 17,4",12 500 000 руб.251 004 руб./м²от 148 417 руб./мес.,
,,,,,,,
14.04,1-комнатная квартира,"Советский район ЖК Студии на Лядоваул. Героя Жидкова, д. 6 Информация о доме",2019.0,"12 / 14 эт., блок+утеплитель","43,5 / 14,9 / 16,2",8 999 999 руб.206 897 руб./м²от 106 860 руб./мес.,
14.04,2-комнатная квартира,"Канавинский район ЖК Новый Городул. Вязниковская, д. 41 Информация о доме",2024.0,"4 / 9 эт., панель","52 / 29,2 / 10,65",7 900 000 руб.151 923 руб./м²от 93 800 руб./мес.,
14.04,3-комнатная квартира,"Сормовский районул. Ефима Рубинчика, д. 14 Информация о доме",1987.0,"6 / 9 эт., панель","57,7 / 39 / 9",6 400 000 руб.110 919 руб./м²от 75 990 руб./мес.,
14.04,2-комнатная квартира,"Канавинский район микрорайон Гордеевскийул. Гордеевская, д. 61А Информация о доме",1983.0,"5 / 9 эт., кирпич","34,3 / 28,7 / 5",4 700 000 руб.137 026 руб./м²от 55 805 руб./мес.,
14.04,2-комнатная квартира,"Сормовский районпросп. Кораблестроителей, д. 24 к2 Информация о доме",1979.0,"5 / 9 эт., панель","52 / 32 / 7,5",5 000 000 руб.96 154 руб./м²от 59 367 руб./мес.,
14.04,1-комнатная квартира,"Автозаводский районул. Живописная, д. 3 Информация о доме",2012.0,"3 / 3 эт., блок+утеплитель","33,7 / 15 / 8,5",4 450 000 руб.132 047 руб./м²от 52 837 руб./мес.,
14.04,3-комнатная квартира,"Канавинский район микрорайон Гордеевскийул. Генерала Зимина, д. 8 Информация о доме",1984.0,"1 / 9 эт., панель","53 / 36,6 / 7",8 500 000 руб.160 377 руб./м²от 100 924 руб./мес.,
,,,,,,,
14.04,1-комнатная квартира,"Канавинский районул. Климовская, д. 86 Информация о доме",1958.0,"1 / 3 эт., кирпич",30 / 17 / 6хрущ.,3 300 000 руб.110 000 руб./м²от 39 182 руб./мес.,
14.04,2-комнатная квартира,"Канавинский районул. Гороховецкая, д. 54А Информация о доме",1980.0,"6 / 9 эт., кирпич","41,6 / 27 / 5,7",6 000 000 руб.144 231 руб./м²от 71 240 руб./мес.,
14.04,2-комнатная квартира,"Сормовский районпросп. Кораблестроителей, д. 24 к2 Информация о доме",1979.0,"5 / 9 эт., панель","52 / 32 / 7,5",5 000 000 руб.96 154 руб./м²от 59 367 руб./мес.,
14.04,2-комнатная квартира,"Канавинский районул. Гороховецкая, д. 54А Информация о доме",1980.0,"6 / 9 эт., кирпич","41,6 / 27 / 5,7",6 000 000 руб.144 231 руб./м²от 71 240 руб./мес.,
14.04,2-комнатная квартира,"Ленинский район микрорайон Молитовкаул. Даргомыжского, д. 18 Информация о доме",1981.0,"4 / 9 эт., панель","50 / 29 / 8,8",6 800 000 руб.136 000 руб./м²от 80 739 руб./мес.,
14.04,2-комнатная квартира,"Советский районпер. Светлогорский, д. 13 Информация о доме",1982.0,"5 / 5 эт., кирпич",43 / 28 / 6малогабар.,5 700 000 руб.132 558 руб./м²от 67 678 руб./мес.,
14.04,4-комнатная квартира,"Московский районул. Маршала Воронова, д. 6 Информация о доме",1970.0,"5 / 5 эт., панель","58,6 / 41,9 / 7брежн.",5 600 000 руб.95 563 руб./м²от 66 491 руб./мес.,
14.04,1-комнатная квартира,"Автозаводский район микрорайон Мончегорскийул. Мончегорская, д. 18 к4 Информация о доме",1990.0,"7 / 9 эт., панель","32,5 / 17,1 / 7,6",4 100 000 руб.126 154 руб./м²от 48 681 руб./мес.,
14.04,3-комнатная квартира,"Нижегородский районул. Родионова, д. 192/4",,"16 / 22 эт., блок+утеплитель","79,1 / 29,2 / 37",24 000 000 руб.303 413 руб./м²от 284 961 руб./мес.,
,,,,,,,
14.04,2-комнатная квартира,"Автозаводский район микрорайон Северныйпросп. Бусыгина, д. 16 Информация о доме",1975.0,"7 / 9 эт., панель","38,2 / 21,8 / 6,1",6 400 000 руб.167 539 руб./м²от 75 990 руб./мес.,
14.04,2-комнатная квартира,"Автозаводский район микрорайон Мончегорскийул. Мончегорская, д. 6 к1 Информация о доме",1972.0,"9 / 9 эт., кирпич","44,2 / 26,4 / 6",4 700 000 руб.106 335 руб./м²от 55 805 руб./мес.,
14.04,2-комнатная квартира,"Автозаводский район микрорайон Северныйпросп. Бусыгина, д. 16 Информация о доме",1975.0,"3 / 9 эт., панель","38,1 / 21,8 / 6,1",7 000 000 руб.183 727 руб./м²от 83 114 руб./мес.,
14.04,3-комнатная квартира,"Автозаводский район Соцгород 2ул. Плотникова, д. 3 Информация о доме",,"5 / 13 эт., кирпич","68,7 / 42,6 / 9",12 350 000 руб.179 767 руб./м²от 146 636 руб./мес.,
14.04,3-комнатная квартира,"Автозаводский район совхоз Доскиноул. Бубнова, д. 4 Информация о доме",1992.0,"1 / 5 эт., панель","64 / 39 / 10,5",6 100 000 руб.95 313 руб./м²от 72 428 руб./мес.,
14.04,3-комнатная квартира,"Приокский район микрорайон Щербинки 2ул. Тропинина, д. 3а Информация о доме",1989.0,"1 / 9 эт., панель","57,1 / 36,7 / 7",7 650 000 руб.133 975 руб./м²от 90 831 руб./мес.,
14.04,1-комнатная квартира,"Автозаводский район микрорайон Северныйул. Дьяконова, д. 10 Информация о доме",1970.0,"1 / 5 эт., панель","33 / 17,4 / 5,8брежн.",4 500 000 руб.136 364 руб./м²от 53 430 руб./мес.,
,,,,,,,
14.04,3-комнатная квартира,"Канавинский районул. Литературная, д. 17 Информация о доме",1977.0,"6 / 9 эт., панель","60,2 / 44 / 7",7 800 000 руб.129 568 руб./м²от 92 612 руб./мес.,
14.04,3-комнатная квартира,"Автозаводский район Соцгород 3ул. Советской Армии, д. 7 Информация о доме",1968.0,"2 / 5 эт., кирпич",52 / 37 / 6хрущ.,7 700 000 руб.148 077 руб./м²от 91 425 руб./мес.,
14.04,2-комнатная квартира,"Приокский район ЖК Цветыул. Академика Сахарова, д. 107 Информация о доме",2013.0,"4 / 19 эт., блок+утеплитель","52 / 27,9 / 10,5",9 500 000 руб.182 692 руб./м²от 112 797 руб./мес.,
14.04,1-комнатная квартира,"Нижегородский районул. Родионова, д. 192/3",,"4 / 22 эт., блок+утеплитель",46 / 20 / 13,12 000 000 руб.260 870 руб./м²от 142 481 руб./мес.,
14.04,3-комнатная квартира,"Автозаводский район микрорайон Мончегорскийул. Сазанова, д. 1 Информация о доме",1996.0,"9 / 10 эт., монолитный железобетон","69,3 / 41 / 8,7",8 300 000 руб.119 769 руб./м²от 98 549 руб./мес.,
14.04,2-комнатная квартира,"Канавинский районул. Мануфактурная, д. 10 Информация о доме",1972.0,"3 / 5 эт., кирпич","45 / 30 / 5,8хрущ.",5 900 000 руб.131 111 руб./м²от 70 053 руб./мес.,
14.04,2-комнатная квартира,"Ленинский районул. Херсонская, д. 18 Информация о доме",1964.0,"3 / 5 эт., кирпич",45 / 30 / 6хрущ.,4 980 000 руб.110 667 руб./м²от 59 129 руб./мес.,
,,,,,,,
14.04,2-комнатная квартира,"Автозаводский районул. Нарвская, д. 19 Информация о доме",1958.0,"1 / 2 эт., шлакоблок","37,2 / 26 / 4,4народн. стр.",3 300 000 руб.88 710 руб./м²от 39 182 руб./мес.,
14.04,3-комнатная квартира,"Автозаводский районш. Южное, д. 2б Информация о доме",1989.0,"3 / 10 эт., панель","63,1 / 38,2 / 9",8 100 000 руб.128 368 руб./м²от 96 174 руб./мес.,
14.04,3-комнатная квартира,"Автозаводский район ЖК Мончегорияул. Мончегорская, д. 12 к7 Информация о доме",2019.0,"9 / 10 эт., панель","56,2 / 36,21 / 8,58",9 000 000 руб.160 142 руб./м²от 106 860 руб./мес.,
14.04,1-комнатная квартира,"Нижегородский район ЖК Дом на Свободепл. Свободы, д. 7 Информация о доме",2018.0,"9 / 19 эт., блок+утеплитель",52 / 21 / 15,17 000 000 руб.326 923 руб./м²от 201 847 руб./мес.,
14.04,1-комнатная квартира,"Автозаводский районул. Лескова, д. 60 Информация о доме",1962.0,"2 / 5 эт., кирпич","32,7 / 18,6 / 5,8хрущ.",3 950 000 руб.120 795 руб./м²от 46 900 руб./мес.,
14.04,1-комнатная квартира,"Автозаводский районул. Праздничная, д. 1 Информация о доме",2014.0,"3 / 3 эт., стеновая панель на деревянном каркасе","39,6 / 19,5 / 9,5",4 700 000 руб.118 687 руб./м²от 55 805 руб./мес.,
14.04,3-комнатная квартира,"Автозаводский район микрорайон Северныйул. Мельникова, д. 25 Информация о доме",2020.0,"7 / 14 эт., блок+утеплитель","82,2 / 51,4 / 11,2",11 500 000 руб.139 903 руб./м²от 136 544 руб./мес.,
,,,,,,,
14.04,1-комнатная квартира,"Нижегородский районул. Ярославская, д. 1/1",1961.0,"1 / 3 эт., кирпич","42,2 / 33,76 / 4,22",4 417 255 руб.104 674 руб./м²от 52 448 руб./мес.,
14.04,2-комнатная квартира,"Советский районпросп. Гагарина, д. 21 к11 Информация о доме",1973.0,"7 / 9 эт., кирпич","48,6 / 32 / 8",6 900 000 руб.141 975 руб./м²от 81 926 руб./мес.,
14.04,2-комнатная квартира,"Приокский районул. Энергетиков, д. 7а Информация о доме",1958.0,"2 / 3 эт., кирпич",45 / 28 / 6народн. стр.,4 600 000 руб.102 222 руб./м²от 54 618 руб./мес.,
